ID,LAND,TID,INDHOLD,SITC
1226,Gabon,2018,0,Mineralbrændstoffer og smøremidler
1227,Gabon,2019,1651,Mineralbrændstoffer og smøremidler
1228,Gabon,2020,0,Mineralbrændstoffer og smøremidler
1229,Gabon,2021,0,Mineralbrændstoffer og smøremidler
1241,Gambia,2018,0,Mineralbrændstoffer og smøremidler
1242,Gambia,2019,0,Mineralbrændstoffer og smøremidler
1243,Gambia,2020,0,Mineralbrændstoffer og smøremidler
1244,Gambia,2021,2,Mineralbrændstoffer og smøremidler
1256,Gaza og Jericho,2018,0,Mineralbrændstoffer og smøremidler
1257,Gaza og Jericho,2019,0,Mineralbrændstoffer og smøremidler
1258,Gaza og Jericho,2020,0,Mineralbrændstoffer og smøremidler
1259,Gaza og Jericho,2021,0,Mineralbrændstoffer og smøremidler
1271,Georgien,2018,0,Mineralbrændstoffer og smøremidler
1272,Georgien,2019,0,Mineralbrændstoffer og smøremidler
1273,Georgien,2020,0,Mineralbrændstoffer og smøremidler
1274,Georgien,2021,3126,Mineralbrændstoffer og smøremidler
1286,Ghana,2018,98,Mineralbrændstoffer og smøremidler
1287,Ghana,2019,10,Mineralbrændstoffer og smøremidler
1288,Ghana,2020,10,Mineralbrændstoffer og smøremidler
1289,Ghana,2021,17,Mineralbrændstoffer og smøremidler
1301,Gibraltar,2018,0,Mineralbrændstoffer og smøremidler
1302,Gibraltar,2019,11,Mineralbrændstoffer og smøremidler
1303,Gibraltar,2020,0,Mineralbrændstoffer og smøremidler
1304,Gibraltar,2021,1,Mineralbrændstoffer og smøremidler
1316,Grenada,2018,0,Mineralbrændstoffer og smøremidler
1317,Grenada,2019,0,Mineralbrændstoffer og smøremidler
1318,Grenada,2020,0,Mineralbrændstoffer og smøremidler
1319,Grenada,2021,0,Mineralbrændstoffer og smøremidler
1331,Grækenland,2018,21557,Mineralbrændstoffer og smøremidler
1332,Grækenland,2019,24786,Mineralbrændstoffer og smøremidler
1333,Grækenland,2020,101732,Mineralbrændstoffer og smøremidler
1334,Grækenland,2021,29571,Mineralbrændstoffer og smøremidler
1346,Grønland,2018,109,Mineralbrændstoffer og smøremidler
1347,Grønland,2019,176,Mineralbrændstoffer og smøremidler
1348,Grønland,2020,364,Mineralbrændstoffer og smøremidler
1349,Grønland,2021,1534,Mineralbrændstoffer og smøremidler
1361,Guadeloupe,2018,0,Mineralbrændstoffer og smøremidler
1362,Guadeloupe,2019,0,Mineralbrændstoffer og smøremidler
1363,Guadeloupe,2020,0,Mineralbrændstoffer og smøremidler
1364,Guadeloupe,2021,0,Mineralbrændstoffer og smøremidler
1376,Guam,2018,0,Mineralbrændstoffer og smøremidler
1377,Guam,2019,0,Mineralbrændstoffer og smøremidler
1378,Guam,2020,0,Mineralbrændstoffer og smøremidler
1379,Guam,2021,0,Mineralbrændstoffer og smøremidler
1391,Guatemala,2018,0,Mineralbrændstoffer og smøremidler
1392,Guatemala,2019,0,Mineralbrændstoffer og smøremidler
1393,Guatemala,2020,0,Mineralbrændstoffer og smøremidler
1394,Guatemala,2021,1,Mineralbrændstoffer og smøremidler
1406,Guinea,2018,0,Mineralbrændstoffer og smøremidler
1407,Guinea,2019,0,Mineralbrændstoffer og smøremidler
1408,Guinea,2020,0,Mineralbrændstoffer og smøremidler
1409,Guinea,2021,4,Mineralbrændstoffer og smøremidler
1421,Guinea-Bissau,2018,0,Mineralbrændstoffer og smøremidler
1422,Guinea-Bissau,2019,0,Mineralbrændstoffer og smøremidler
1423,Guinea-Bissau,2020,0,Mineralbrændstoffer og smøremidler
1424,Guinea-Bissau,2021,0,Mineralbrændstoffer og smøremidler
1436,Guyana,2018,0,Mineralbrændstoffer og smøremidler
1437,Guyana,2019,0,Mineralbrændstoffer og smøremidler
1438,Guyana,2020,0,Mineralbrændstoffer og smøremidler
1439,Guyana,2021,0,Mineralbrændstoffer og smøremidler
1451,Haiti,2018,0,Mineralbrændstoffer og smøremidler
1452,Haiti,2019,0,Mineralbrændstoffer og smøremidler
1453,Haiti,2020,0,Mineralbrændstoffer og smøremidler
1454,Haiti,2021,0,Mineralbrændstoffer og smøremidler
1466,Heard- og McDonaldøerne,2018,0,Mineralbrændstoffer og smøremidler
1467,Heard- og McDonaldøerne,2019,0,Mineralbrændstoffer og smøremidler
1468,Heard- og McDonaldøerne,2020,0,Mineralbrændstoffer og smøremidler
1469,Heard- og McDonaldøerne,2021,0,Mineralbrændstoffer og smøremidler
1481,Honduras,2018,0,Mineralbrændstoffer og smøremidler
1482,Honduras,2019,0,Mineralbrændstoffer og smøremidler
1483,Honduras,2020,0,Mineralbrændstoffer og smøremidler
1484,Honduras,2021,2,Mineralbrændstoffer og smøremidler
1496,Hongkong,2018,7430,Mineralbrændstoffer og smøremidler
1497,Hongkong,2019,4997,Mineralbrændstoffer og smøremidler
1498,Hongkong,2020,7281,Mineralbrændstoffer og smøremidler
1499,Hongkong,2021,15633,Mineralbrændstoffer og smøremidler
1511,Indien,2018,503942,Mineralbrændstoffer og smøremidler
1512,Indien,2019,124254,Mineralbrændstoffer og smøremidler
1513,Indien,2020,125492,Mineralbrændstoffer og smøremidler
1514,Indien,2021,151055,Mineralbrændstoffer og smøremidler
1526,Indonesien,2018,10337,Mineralbrændstoffer og smøremidler
1527,Indonesien,2019,8317,Mineralbrændstoffer og smøremidler
1528,Indonesien,2020,13375,Mineralbrændstoffer og smøremidler
1529,Indonesien,2021,17245,Mineralbrændstoffer og smøremidler
1541,Irak,2018,1,Mineralbrændstoffer og smøremidler
1542,Irak,2019,3,Mineralbrændstoffer og smøremidler
1543,Irak,2020,0,Mineralbrændstoffer og smøremidler
1544,Irak,2021,3,Mineralbrændstoffer og smøremidler
1556,Iran,2018,1,Mineralbrændstoffer og smøremidler
1557,Iran,2019,88,Mineralbrændstoffer og smøremidler
1558,Iran,2020,13,Mineralbrændstoffer og smøremidler
1559,Iran,2021,645,Mineralbrændstoffer og smøremidler
1571,Irland,2018,863248,Mineralbrændstoffer og smøremidler
1572,Irland,2019,902967,Mineralbrændstoffer og smøremidler
1573,Irland,2020,602551,Mineralbrændstoffer og smøremidler
1574,Irland,2021,550923,Mineralbrændstoffer og smøremidler
1586,Island,2018,16365,Mineralbrændstoffer og smøremidler
1587,Island,2019,14921,Mineralbrændstoffer og smøremidler
1588,Island,2020,21160,Mineralbrændstoffer og smøremidler
1589,Island,2021,20744,Mineralbrændstoffer og smøremidler
