,LAND,TID,INDHOLD,SITC
808,Costa Rica,2020,84,Kemikalier og relaterede produkter
809,Costa Rica,2021,131,Kemikalier og relaterede produkter
821,Cuba,2018,38,Kemikalier og relaterede produkter
822,Cuba,2019,21,Kemikalier og relaterede produkter
823,Cuba,2020,0,Kemikalier og relaterede produkter
824,Cuba,2021,0,Kemikalier og relaterede produkter
836,Curacao,2018,0,Kemikalier og relaterede produkter
837,Curacao,2019,0,Kemikalier og relaterede produkter
838,Curacao,2020,0,Kemikalier og relaterede produkter
839,Curacao,2021,0,Kemikalier og relaterede produkter
851,Cypern,2018,27233,Kemikalier og relaterede produkter
852,Cypern,2019,20486,Kemikalier og relaterede produkter
853,Cypern,2020,37934,Kemikalier og relaterede produkter
854,Cypern,2021,72407,Kemikalier og relaterede produkter
866,DDR,2018,0,Kemikalier og relaterede produkter
867,DDR,2019,0,Kemikalier og relaterede produkter
868,DDR,2020,0,Kemikalier og relaterede produkter
869,DDR,2021,0,Kemikalier og relaterede produkter
881,Diskretioneret,2018,0,Kemikalier og relaterede produkter
882,Diskretioneret,2019,0,Kemikalier og relaterede produkter
883,Diskretioneret,2020,0,Kemikalier og relaterede produkter
884,Diskretioneret,2021,0,Kemikalier og relaterede produkter
896,Djibouti,2018,0,Kemikalier og relaterede produkter
897,Djibouti,2019,0,Kemikalier og relaterede produkter
898,Djibouti,2020,0,Kemikalier og relaterede produkter
899,Djibouti,2021,0,Kemikalier og relaterede produkter
911,Dominica,2018,0,Kemikalier og relaterede produkter
912,Dominica,2019,0,Kemikalier og relaterede produkter
913,Dominica,2020,0,Kemikalier og relaterede produkter
914,Dominica,2021,0,Kemikalier og relaterede produkter
926,Dominikanske Republik,2018,67,Kemikalier og relaterede produkter
927,Dominikanske Republik,2019,204,Kemikalier og relaterede produkter
928,Dominikanske Republik,2020,148,Kemikalier og relaterede produkter
929,Dominikanske Republik,2021,137,Kemikalier og relaterede produkter
941,Ecuador,2018,3607,Kemikalier og relaterede produkter
942,Ecuador,2019,1502,Kemikalier og relaterede produkter
943,Ecuador,2020,2491,Kemikalier og relaterede produkter
944,Ecuador,2021,8952,Kemikalier og relaterede produkter
956,Egypten,2018,4969,Kemikalier og relaterede produkter
957,Egypten,2019,2192,Kemikalier og relaterede produkter
958,Egypten,2020,4191,Kemikalier og relaterede produkter
959,Egypten,2021,13664,Kemikalier og relaterede produkter
971,El Salvador,2018,0,Kemikalier og relaterede produkter
972,El Salvador,2019,1,Kemikalier og relaterede produkter
973,El Salvador,2020,0,Kemikalier og relaterede produkter
974,El Salvador,2021,1,Kemikalier og relaterede produkter
986,Elfenbenskysten,2018,0,Kemikalier og relaterede produkter
987,Elfenbenskysten,2019,0,Kemikalier og relaterede produkter
988,Elfenbenskysten,2020,0,Kemikalier og relaterede produkter
989,Elfenbenskysten,2021,6,Kemikalier og relaterede produkter
1001,Eritrea,2018,0,Kemikalier og relaterede produkter
1002,Eritrea,2019,0,Kemikalier og relaterede produkter
1003,Eritrea,2020,0,Kemikalier og relaterede produkter
1004,Eritrea,2021,0,Kemikalier og relaterede produkter
1016,Estland,2018,202414,Kemikalier og relaterede produkter
1017,Estland,2019,192114,Kemikalier og relaterede produkter
1018,Estland,2020,217258,Kemikalier og relaterede produkter
1019,Estland,2021,255162,Kemikalier og relaterede produkter
1031,Eswantini,2018,0,Kemikalier og relaterede produkter
1032,Eswantini,2019,0,Kemikalier og relaterede produkter
1033,Eswantini,2020,0,Kemikalier og relaterede produkter
1034,Eswantini,2021,0,Kemikalier og relaterede produkter
1046,Etiopien,2018,2,Kemikalier og relaterede produkter
1047,Etiopien,2019,0,Kemikalier og relaterede produkter
1048,Etiopien,2020,0,Kemikalier og relaterede produkter
1049,Etiopien,2021,0,Kemikalier og relaterede produkter
1061,Falklandsøerne,2018,0,Kemikalier og relaterede produkter
1062,Falklandsøerne,2019,0,Kemikalier og relaterede produkter
1063,Falklandsøerne,2020,0,Kemikalier og relaterede produkter
1064,Falklandsøerne,2021,0,Kemikalier og relaterede produkter
1076,Fiji,2018,0,Kemikalier og relaterede produkter
1077,Fiji,2019,0,Kemikalier og relaterede produkter
1078,Fiji,2020,0,Kemikalier og relaterede produkter
1079,Fiji,2021,0,Kemikalier og relaterede produkter
1091,Filippinerne,2018,329,Kemikalier og relaterede produkter
1092,Filippinerne,2019,3192,Kemikalier og relaterede produkter
1093,Filippinerne,2020,706,Kemikalier og relaterede produkter
1094,Filippinerne,2021,1843,Kemikalier og relaterede produkter
1106,Finland,2018,1551914,Kemikalier og relaterede produkter
1107,Finland,2019,1415124,Kemikalier og relaterede produkter
1108,Finland,2020,1155314,Kemikalier og relaterede produkter
1109,Finland,2021,1402846,Kemikalier og relaterede produkter
1121,Forenede Arabiske Emirater,2018,2621,Kemikalier og relaterede produkter
1122,Forenede Arabiske Emirater,2019,733,Kemikalier og relaterede produkter
1123,Forenede Arabiske Emirater,2020,2348,Kemikalier og relaterede produkter
1124,Forenede Arabiske Emirater,2021,3243,Kemikalier og relaterede produkter
1136,Frankrig og Monaco,2018,3307235,Kemikalier og relaterede produkter
1137,Frankrig og Monaco,2019,4035564,Kemikalier og relaterede produkter
1138,Frankrig og Monaco,2020,4933397,Kemikalier og relaterede produkter
1139,Frankrig og Monaco,2021,6149527,Kemikalier og relaterede produkter
1151,Fransk Guyana,2018,0,Kemikalier og relaterede produkter
1152,Fransk Guyana,2019,0,Kemikalier og relaterede produkter
1153,Fransk Guyana,2020,0,Kemikalier og relaterede produkter
1154,Fransk Guyana,2021,0,Kemikalier og relaterede produkter
1166,Fransk Polynesien,2018,0,Kemikalier og relaterede produkter
1167,Fransk Polynesien,2019,1,Kemikalier og relaterede produkter
1168,Fransk Polynesien,2020,0,Kemikalier og relaterede produkter
1169,Fransk Polynesien,2021,0,Kemikalier og relaterede produkter
1181,Franske besiddelser i det sydlige Indiske Ocean,2018,0,Kemikalier og relaterede produkter
1182,Franske besiddelser i det sydlige Indiske Ocean,2019,0,Kemikalier og relaterede produkter
1183,Franske besiddelser i det sydlige Indiske Ocean,2020,0,Kemikalier og relaterede produkter
1184,Franske besiddelser i det sydlige Indiske Ocean,2021,0,Kemikalier og relaterede produkter
1196,Fremmede tropper i Tyskland,2018,0,Kemikalier og relaterede produkter
1197,Fremmede tropper i Tyskland,2019,0,Kemikalier og relaterede produkter
1198,Fremmede tropper i Tyskland,2020,0,Kemikalier og relaterede produkter
1199,Fremmede tropper i Tyskland,2021,0,Kemikalier og relaterede produkter
1211,Færøerne,2018,321,Kemikalier og relaterede produkter
1212,Færøerne,2019,559,Kemikalier og relaterede produkter
1213,Færøerne,2020,938,Kemikalier og relaterede produkter
1214,Færøerne,2021,2016,Kemikalier og relaterede produkter
1226,Gabon,2018,0,Kemikalier og relaterede produkter
1227,Gabon,2019,0,Kemikalier og relaterede produkter
1228,Gabon,2020,0,Kemikalier og relaterede produkter
1229,Gabon,2021,0,Kemikalier og relaterede produkter
1241,Gambia,2018,0,Kemikalier og relaterede produkter
1242,Gambia,2019,0,Kemikalier og relaterede produkter
1243,Gambia,2020,0,Kemikalier og relaterede produkter
1244,Gambia,2021,0,Kemikalier og relaterede produkter
1256,Gaza og Jericho,2018,0,Kemikalier og relaterede produkter
1257,Gaza og Jericho,2019,0,Kemikalier og relaterede produkter
1258,Gaza og Jericho,2020,0,Kemikalier og relaterede produkter
1259,Gaza og Jericho,2021,0,Kemikalier og relaterede produkter
1271,Georgien,2018,282,Kemikalier og relaterede produkter
1272,Georgien,2019,681,Kemikalier og relaterede produkter
1273,Georgien,2020,917,Kemikalier og relaterede produkter
1274,Georgien,2021,1809,Kemikalier og relaterede produkter
1286,Ghana,2018,11,Kemikalier og relaterede produkter
1287,Ghana,2019,12,Kemikalier og relaterede produkter
1288,Ghana,2020,6,Kemikalier og relaterede produkter
1289,Ghana,2021,18,Kemikalier og relaterede produkter
1301,Gibraltar,2018,0,Kemikalier og relaterede produkter
1302,Gibraltar,2019,0,Kemikalier og relaterede produkter
1303,Gibraltar,2020,0,Kemikalier og relaterede produkter
1304,Gibraltar,2021,0,Kemikalier og relaterede produkter
1316,Grenada,2018,0,Kemikalier og relaterede produkter
1317,Grenada,2019,1,Kemikalier og relaterede produkter
1318,Grenada,2020,0,Kemikalier og relaterede produkter
1319,Grenada,2021,0,Kemikalier og relaterede produkter
1331,Grækenland,2018,93755,Kemikalier og relaterede produkter
1332,Grækenland,2019,66873,Kemikalier og relaterede produkter
1333,Grækenland,2020,131327,Kemikalier og relaterede produkter
1334,Grækenland,2021,125193,Kemikalier og relaterede produkter
1346,Grønland,2018,113,Kemikalier og relaterede produkter
1347,Grønland,2019,134,Kemikalier og relaterede produkter
1348,Grønland,2020,187,Kemikalier og relaterede produkter
1349,Grønland,2021,590,Kemikalier og relaterede produkter
1361,Guadeloupe,2018,0,Kemikalier og relaterede produkter
1362,Guadeloupe,2019,0,Kemikalier og relaterede produkter
1363,Guadeloupe,2020,0,Kemikalier og relaterede produkter
1364,Guadeloupe,2021,0,Kemikalier og relaterede produkter
1376,Guam,2018,0,Kemikalier og relaterede produkter
1377,Guam,2019,0,Kemikalier og relaterede produkter
1378,Guam,2020,0,Kemikalier og relaterede produkter
1379,Guam,2021,0,Kemikalier og relaterede produkter
1391,Guatemala,2018,0,Kemikalier og relaterede produkter
1392,Guatemala,2019,1,Kemikalier og relaterede produkter
1393,Guatemala,2020,0,Kemikalier og relaterede produkter
1394,Guatemala,2021,0,Kemikalier og relaterede produkter
1406,Guinea,2018,0,Kemikalier og relaterede produkter
1407,Guinea,2019,0,Kemikalier og relaterede produkter
1408,Guinea,2020,0,Kemikalier og relaterede produkter
1409,Guinea,2021,4,Kemikalier og relaterede produkter
1421,Guinea-Bissau,2018,0,Kemikalier og relaterede produkter
1422,Guinea-Bissau,2019,0,Kemikalier og relaterede produkter
1423,Guinea-Bissau,2020,0,Kemikalier og relaterede produkter
1424,Guinea-Bissau,2021,0,Kemikalier og relaterede produkter
1436,Guyana,2018,0,Kemikalier og relaterede produkter
1437,Guyana,2019,84,Kemikalier og relaterede produkter
1438,Guyana,2020,0,Kemikalier og relaterede produkter
