ID,LAND,TID,INDHOLD,SITC
1002,Eritrea,2019,1,Diverse fremstillede varer
1003,Eritrea,2020,10,Diverse fremstillede varer
1004,Eritrea,2021,1,Diverse fremstillede varer
1016,Estland,2018,101590,Diverse fremstillede varer
1017,Estland,2019,99456,Diverse fremstillede varer
1018,Estland,2020,103441,Diverse fremstillede varer
1019,Estland,2021,121495,Diverse fremstillede varer
1031,Eswantini,2018,0,Diverse fremstillede varer
1032,Eswantini,2019,24,Diverse fremstillede varer
1033,Eswantini,2020,43,Diverse fremstillede varer
1034,Eswantini,2021,2859,Diverse fremstillede varer
1046,Etiopien,2018,63,Diverse fremstillede varer
1047,Etiopien,2019,72,Diverse fremstillede varer
1048,Etiopien,2020,43,Diverse fremstillede varer
1049,Etiopien,2021,6791,Diverse fremstillede varer
1061,Falklandsøerne,2018,0,Diverse fremstillede varer
1062,Falklandsøerne,2019,8,Diverse fremstillede varer
1063,Falklandsøerne,2020,0,Diverse fremstillede varer
1064,Falklandsøerne,2021,60,Diverse fremstillede varer
1076,Fiji,2018,2,Diverse fremstillede varer
1077,Fiji,2019,0,Diverse fremstillede varer
1078,Fiji,2020,0,Diverse fremstillede varer
1079,Fiji,2021,0,Diverse fremstillede varer
1091,Filippinerne,2018,17718,Diverse fremstillede varer
1092,Filippinerne,2019,18679,Diverse fremstillede varer
1093,Filippinerne,2020,9554,Diverse fremstillede varer
1094,Filippinerne,2021,20882,Diverse fremstillede varer
1106,Finland,2018,566388,Diverse fremstillede varer
1107,Finland,2019,537867,Diverse fremstillede varer
1108,Finland,2020,563347,Diverse fremstillede varer
1109,Finland,2021,665383,Diverse fremstillede varer
1121,Forenede Arabiske Emirater,2018,69330,Diverse fremstillede varer
1122,Forenede Arabiske Emirater,2019,90375,Diverse fremstillede varer
1123,Forenede Arabiske Emirater,2020,68742,Diverse fremstillede varer
1124,Forenede Arabiske Emirater,2021,83873,Diverse fremstillede varer
1136,Frankrig og Monaco,2018,1571437,Diverse fremstillede varer
1137,Frankrig og Monaco,2019,1770884,Diverse fremstillede varer
1138,Frankrig og Monaco,2020,1613813,Diverse fremstillede varer
1139,Frankrig og Monaco,2021,1972650,Diverse fremstillede varer
1151,Fransk Guyana,2018,0,Diverse fremstillede varer
1152,Fransk Guyana,2019,0,Diverse fremstillede varer
1153,Fransk Guyana,2020,0,Diverse fremstillede varer
1154,Fransk Guyana,2021,0,Diverse fremstillede varer
1166,Fransk Polynesien,2018,173,Diverse fremstillede varer
