,LAND,TID,INDHOLD,SITC
687,Ceuta,2019,0,Mineralbrændstoffer og smøremidler
688,Ceuta,2020,0,Mineralbrændstoffer og smøremidler
689,Ceuta,2021,34,Mineralbrændstoffer og smøremidler
701,Chile,2018,32372,Mineralbrændstoffer og smøremidler
702,Chile,2019,10051,Mineralbrændstoffer og smøremidler
703,Chile,2020,11660,Mineralbrændstoffer og smøremidler
704,Chile,2021,12135,Mineralbrændstoffer og smøremidler
716,Cocosøerne,2018,0,Mineralbrændstoffer og smøremidler
717,Cocosøerne,2019,0,Mineralbrændstoffer og smøremidler
718,Cocosøerne,2020,0,Mineralbrændstoffer og smøremidler
719,Cocosøerne,2021,0,Mineralbrændstoffer og smøremidler
731,Colombia,2018,10602,Mineralbrændstoffer og smøremidler
732,Colombia,2019,33919,Mineralbrændstoffer og smøremidler
733,Colombia,2020,11422,Mineralbrændstoffer og smøremidler
734,Colombia,2021,12387,Mineralbrændstoffer og smøremidler
746,Comorerne,2018,1,Mineralbrændstoffer og smøremidler
747,Comorerne,2019,0,Mineralbrændstoffer og smøremidler
748,Comorerne,2020,0,Mineralbrændstoffer og smøremidler
749,Comorerne,2021,0,Mineralbrændstoffer og smøremidler
761,"Congo, Demokratiske Republik",2018,0,Mineralbrændstoffer og smøremidler
762,"Congo, Demokratiske Republik",2019,46,Mineralbrændstoffer og smøremidler
763,"Congo, Demokratiske Republik",2020,15,Mineralbrændstoffer og smøremidler
764,"Congo, Demokratiske Republik",2021,26,Mineralbrændstoffer og smøremidler
776,"Congo, Republikken",2018,19,Mineralbrændstoffer og smøremidler
777,"Congo, Republikken",2019,3,Mineralbrændstoffer og smøremidler
778,"Congo, Republikken",2020,77,Mineralbrændstoffer og smøremidler
779,"Congo, Republikken",2021,180,Mineralbrændstoffer og smøremidler
791,Cookøerne,2018,24108,Mineralbrændstoffer og smøremidler
792,Cookøerne,2019,0,Mineralbrændstoffer og smøremidler
793,Cookøerne,2020,0,Mineralbrændstoffer og smøremidler
794,Cookøerne,2021,0,Mineralbrændstoffer og smøremidler
806,Costa Rica,2018,694,Mineralbrændstoffer og smøremidler
807,Costa Rica,2019,1099,Mineralbrændstoffer og smøremidler
808,Costa Rica,2020,1129,Mineralbrændstoffer og smøremidler
809,Costa Rica,2021,2459,Mineralbrændstoffer og smøremidler
821,Cuba,2018,1558,Mineralbrændstoffer og smøremidler
822,Cuba,2019,3700,Mineralbrændstoffer og smøremidler
823,Cuba,2020,925,Mineralbrændstoffer og smøremidler
824,Cuba,2021,687,Mineralbrændstoffer og smøremidler
836,Curacao,2018,10,Mineralbrændstoffer og smøremidler
837,Curacao,2019,24,Mineralbrændstoffer og smøremidler
838,Curacao,2020,177,Mineralbrændstoffer og smøremidler
839,Curacao,2021,155,Mineralbrændstoffer og smøremidler
851,Cypern,2018,41766,Mineralbrændstoffer og smøremidler
852,Cypern,2019,85639,Mineralbrændstoffer og smøremidler
853,Cypern,2020,29942,Mineralbrændstoffer og smøremidler
854,Cypern,2021,26279,Mineralbrændstoffer og smøremidler
866,DDR,2018,0,Mineralbrændstoffer og smøremidler
867,DDR,2019,0,Mineralbrændstoffer og smøremidler
868,DDR,2020,0,Mineralbrændstoffer og smøremidler
869,DDR,2021,0,Mineralbrændstoffer og smøremidler
881,Diskretioneret,2018,0,Mineralbrændstoffer og smøremidler
882,Diskretioneret,2019,0,Mineralbrændstoffer og smøremidler
883,Diskretioneret,2020,0,Mineralbrændstoffer og smøremidler
884,Diskretioneret,2021,0,Mineralbrændstoffer og smøremidler
896,Djibouti,2018,120,Mineralbrændstoffer og smøremidler
897,Djibouti,2019,249,Mineralbrændstoffer og smøremidler
898,Djibouti,2020,277,Mineralbrændstoffer og smøremidler
899,Djibouti,2021,232,Mineralbrændstoffer og smøremidler
911,Dominica,2018,0,Mineralbrændstoffer og smøremidler
912,Dominica,2019,0,Mineralbrændstoffer og smøremidler
913,Dominica,2020,0,Mineralbrændstoffer og smøremidler
914,Dominica,2021,0,Mineralbrændstoffer og smøremidler
926,Dominikanske Republik,2018,25738,Mineralbrændstoffer og smøremidler
927,Dominikanske Republik,2019,1638,Mineralbrændstoffer og smøremidler
928,Dominikanske Republik,2020,1010,Mineralbrændstoffer og smøremidler
929,Dominikanske Republik,2021,2885,Mineralbrændstoffer og smøremidler
941,Ecuador,2018,2677,Mineralbrændstoffer og smøremidler
942,Ecuador,2019,2278,Mineralbrændstoffer og smøremidler
943,Ecuador,2020,4097,Mineralbrændstoffer og smøremidler
944,Ecuador,2021,3120,Mineralbrændstoffer og smøremidler
956,Egypten,2018,19313,Mineralbrændstoffer og smøremidler
957,Egypten,2019,18435,Mineralbrændstoffer og smøremidler
