ID,LAND,TID,SITC,INDHOLD
1002,Eritrea,2019,Maskiner og transportmidler,0
1003,Eritrea,2020,Maskiner og transportmidler,0
1004,Eritrea,2021,Maskiner og transportmidler,18
1016,Estland,2018,Maskiner og transportmidler,319085
1017,Estland,2019,Maskiner og transportmidler,210151
1018,Estland,2020,Maskiner og transportmidler,241242
1019,Estland,2021,Maskiner og transportmidler,338213
1031,Eswantini,2018,Maskiner og transportmidler,34
1032,Eswantini,2019,Maskiner og transportmidler,57
1033,Eswantini,2020,Maskiner og transportmidler,10
1034,Eswantini,2021,Maskiner og transportmidler,155
1046,Etiopien,2018,Maskiner og transportmidler,1458
1047,Etiopien,2019,Maskiner og transportmidler,279
1048,Etiopien,2020,Maskiner og transportmidler,566
1049,Etiopien,2021,Maskiner og transportmidler,62
1061,Falklandsøerne,2018,Maskiner og transportmidler,2731
1062,Falklandsøerne,2019,Maskiner og transportmidler,0
1063,Falklandsøerne,2020,Maskiner og transportmidler,0
1064,Falklandsøerne,2021,Maskiner og transportmidler,1161
1076,Fiji,2018,Maskiner og transportmidler,30
1077,Fiji,2019,Maskiner og transportmidler,11
1078,Fiji,2020,Maskiner og transportmidler,0
1079,Fiji,2021,Maskiner og transportmidler,0
1091,Filippinerne,2018,Maskiner og transportmidler,123324
1092,Filippinerne,2019,Maskiner og transportmidler,50324
1093,Filippinerne,2020,Maskiner og transportmidler,65866
1094,Filippinerne,2021,Maskiner og transportmidler,154469
1106,Finland,2018,Maskiner og transportmidler,2488602
1107,Finland,2019,Maskiner og transportmidler,2397261
1108,Finland,2020,Maskiner og transportmidler,2327534
1109,Finland,2021,Maskiner og transportmidler,2485071
1121,Forenede Arabiske Emirater,2018,Maskiner og transportmidler,76606
1122,Forenede Arabiske Emirater,2019,Maskiner og transportmidler,33586
1123,Forenede Arabiske Emirater,2020,Maskiner og transportmidler,37104
1124,Forenede Arabiske Emirater,2021,Maskiner og transportmidler,66849
1136,Frankrig og Monaco,2018,Maskiner og transportmidler,7171528
1137,Frankrig og Monaco,2019,Maskiner og transportmidler,7031572
1138,Frankrig og Monaco,2020,Maskiner og transportmidler,6454035
1139,Frankrig og Monaco,2021,Maskiner og transportmidler,6572278
1151,Fransk Guyana,2018,Maskiner og transportmidler,0
1152,Fransk Guyana,2019,Maskiner og transportmidler,0
1153,Fransk Guyana,2020,Maskiner og transportmidler,0
1154,Fransk Guyana,2021,Maskiner og transportmidler,0
1166,Fransk Polynesien,2018,Maskiner og transportmidler,7
1167,Fransk Polynesien,2019,Maskiner og transportmidler,86
1168,Fransk Polynesien,2020,Maskiner og transportmidler,74
1169,Fransk Polynesien,2021,Maskiner og transportmidler,17
1181,Franske besiddelser i det sydlige Indiske Ocean,2018,Maskiner og transportmidler,182
1182,Franske besiddelser i det sydlige Indiske Ocean,2019,Maskiner og transportmidler,0
1183,Franske besiddelser i det sydlige Indiske Ocean,2020,Maskiner og transportmidler,4
1184,Franske besiddelser i det sydlige Indiske Ocean,2021,Maskiner og transportmidler,26
1196,Fremmede tropper i Tyskland,2018,Maskiner og transportmidler,0
1197,Fremmede tropper i Tyskland,2019,Maskiner og transportmidler,0
1198,Fremmede tropper i Tyskland,2020,Maskiner og transportmidler,0
1199,Fremmede tropper i Tyskland,2021,Maskiner og transportmidler,0
1211,Færøerne,2018,Maskiner og transportmidler,16371
1212,Færøerne,2019,Maskiner og transportmidler,31048
1213,Færøerne,2020,Maskiner og transportmidler,13002
1214,Færøerne,2021,Maskiner og transportmidler,74823
1226,Gabon,2018,Maskiner og transportmidler,115
1227,Gabon,2019,Maskiner og transportmidler,223
1228,Gabon,2020,Maskiner og transportmidler,19
1229,Gabon,2021,Maskiner og transportmidler,1355
1241,Gambia,2018,Maskiner og transportmidler,6
1242,Gambia,2019,Maskiner og transportmidler,0
1243,Gambia,2020,Maskiner og transportmidler,0
1244,Gambia,2021,Maskiner og transportmidler,137
1256,Gaza og Jericho,2018,Maskiner og transportmidler,0
1257,Gaza og Jericho,2019,Maskiner og transportmidler,0
1258,Gaza og Jericho,2020,Maskiner og transportmidler,0
1259,Gaza og Jericho,2021,Maskiner og transportmidler,0
1271,Georgien,2018,Maskiner og transportmidler,89
1272,Georgien,2019,Maskiner og transportmidler,581
1273,Georgien,2020,Maskiner og transportmidler,177
1274,Georgien,2021,Maskiner og transportmidler,232
1286,Ghana,2018,Maskiner og transportmidler,131
1287,Ghana,2019,Maskiner og transportmidler,1985
1288,Ghana,2020,Maskiner og transportmidler,27
1289,Ghana,2021,Maskiner og transportmidler,5465
1301,Gibraltar,2018,Maskiner og transportmidler,206
1302,Gibraltar,2019,Maskiner og transportmidler,93
