,LAND,TID,SITC,INDHOLD
1274,Georgien,2021,Diverse fremstillede varer,0
1286,Ghana,2018,Diverse fremstillede varer,3302
1287,Ghana,2019,Diverse fremstillede varer,3498
1288,Ghana,2020,Diverse fremstillede varer,2686
1289,Ghana,2021,Diverse fremstillede varer,5830
1301,Gibraltar,2018,Diverse fremstillede varer,0
1302,Gibraltar,2019,Diverse fremstillede varer,2
1303,Gibraltar,2020,Diverse fremstillede varer,0
1304,Gibraltar,2021,Diverse fremstillede varer,2
1316,Grenada,2018,Diverse fremstillede varer,0
1317,Grenada,2019,Diverse fremstillede varer,30
1318,Grenada,2020,Diverse fremstillede varer,0
1319,Grenada,2021,Diverse fremstillede varer,1
1331,Grækenland,2018,Diverse fremstillede varer,17603
1332,Grækenland,2019,Diverse fremstillede varer,15928
1333,Grækenland,2020,Diverse fremstillede varer,18155
1334,Grækenland,2021,Diverse fremstillede varer,13223
1346,Grønland,2018,Diverse fremstillede varer,1798
1347,Grønland,2019,Diverse fremstillede varer,2113
1348,Grønland,2020,Diverse fremstillede varer,2073
1349,Grønland,2021,Diverse fremstillede varer,3634
1361,Guadeloupe,2018,Diverse fremstillede varer,0
1362,Guadeloupe,2019,Diverse fremstillede varer,0
1363,Guadeloupe,2020,Diverse fremstillede varer,0
1364,Guadeloupe,2021,Diverse fremstillede varer,0
1376,Guam,2018,Diverse fremstillede varer,0
1377,Guam,2019,Diverse fremstillede varer,0
1378,Guam,2020,Diverse fremstillede varer,0
1379,Guam,2021,Diverse fremstillede varer,0
1391,Guatemala,2018,Diverse fremstillede varer,63
1392,Guatemala,2019,Diverse fremstillede varer,3
1393,Guatemala,2020,Diverse fremstillede varer,6
1394,Guatemala,2021,Diverse fremstillede varer,17
1406,Guinea,2018,Diverse fremstillede varer,0
1407,Guinea,2019,Diverse fremstillede varer,0
1408,Guinea,2020,Diverse fremstillede varer,0
1409,Guinea,2021,Diverse fremstillede varer,0
1421,Guinea-Bissau,2018,Diverse fremstillede varer,0
1422,Guinea-Bissau,2019,Diverse fremstillede varer,0
1423,Guinea-Bissau,2020,Diverse fremstillede varer,0
1424,Guinea-Bissau,2021,Diverse fremstillede varer,0
1436,Guyana,2018,Diverse fremstillede varer,0
1437,Guyana,2019,Diverse fremstillede varer,0
1438,Guyana,2020,Diverse fremstillede varer,287
1439,Guyana,2021,Diverse fremstillede varer,607
1451,Haiti,2018,Diverse fremstillede varer,0
1452,Haiti,2019,Diverse fremstillede varer,0
1453,Haiti,2020,Diverse fremstillede varer,1
1454,Haiti,2021,Diverse fremstillede varer,0
1466,Heard- og McDonaldøerne,2018,Diverse fremstillede varer,0
1467,Heard- og McDonaldøerne,2019,Diverse fremstillede varer,110
1468,Heard- og McDonaldøerne,2020,Diverse fremstillede varer,0
1469,Heard- og McDonaldøerne,2021,Diverse fremstillede varer,0
1481,Honduras,2018,Diverse fremstillede varer,199
1482,Honduras,2019,Diverse fremstillede varer,196
1483,Honduras,2020,Diverse fremstillede varer,0
1484,Honduras,2021,Diverse fremstillede varer,104
1496,Hongkong,2018,Diverse fremstillede varer,18884
1497,Hongkong,2019,Diverse fremstillede varer,18321
1498,Hongkong,2020,Diverse fremstillede varer,31915
1499,Hongkong,2021,Diverse fremstillede varer,88189
1511,Indien,2018,Diverse fremstillede varer,696022
1512,Indien,2019,Diverse fremstillede varer,698803
1513,Indien,2020,Diverse fremstillede varer,632554
1514,Indien,2021,Diverse fremstillede varer,990045
1526,Indonesien,2018,Diverse fremstillede varer,157825
1527,Indonesien,2019,Diverse fremstillede varer,163556
1528,Indonesien,2020,Diverse fremstillede varer,183083
1529,Indonesien,2021,Diverse fremstillede varer,260659
1541,Irak,2018,Diverse fremstillede varer,0
1542,Irak,2019,Diverse fremstillede varer,2
