,LAND,TID,INDHOLD,SITC
973,El Salvador,2020,5312,"levende dyr, fødevarer, drikkevarer og tobak"
974,El Salvador,2021,4267,"levende dyr, fødevarer, drikkevarer og tobak"
986,Elfenbenskysten,2018,77839,"levende dyr, fødevarer, drikkevarer og tobak"
987,Elfenbenskysten,2019,82376,"levende dyr, fødevarer, drikkevarer og tobak"
988,Elfenbenskysten,2020,65700,"levende dyr, fødevarer, drikkevarer og tobak"
989,Elfenbenskysten,2021,64305,"levende dyr, fødevarer, drikkevarer og tobak"
1001,Eritrea,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
1002,Eritrea,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
1003,Eritrea,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
1004,Eritrea,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
1016,Estland,2018,214515,"levende dyr, fødevarer, drikkevarer og tobak"
1017,Estland,2019,206160,"levende dyr, fødevarer, drikkevarer og tobak"
1018,Estland,2020,226993,"levende dyr, fødevarer, drikkevarer og tobak"
1019,Estland,2021,167253,"levende dyr, fødevarer, drikkevarer og tobak"
1031,Eswantini,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
1032,Eswantini,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
1033,Eswantini,2020,125,"levende dyr, fødevarer, drikkevarer og tobak"
1034,Eswantini,2021,127,"levende dyr, fødevarer, drikkevarer og tobak"
1046,Etiopien,2018,4830,"levende dyr, fødevarer, drikkevarer og tobak"
1047,Etiopien,2019,3945,"levende dyr, fødevarer, drikkevarer og tobak"
1048,Etiopien,2020,3885,"levende dyr, fødevarer, drikkevarer og tobak"
1049,Etiopien,2021,6755,"levende dyr, fødevarer, drikkevarer og tobak"
1061,Falklandsøerne,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
1062,Falklandsøerne,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
1063,Falklandsøerne,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
1064,Falklandsøerne,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
1076,Fiji,2018,28,"levende dyr, fødevarer, drikkevarer og tobak"
1077,Fiji,2019,220,"levende dyr, fødevarer, drikkevarer og tobak"
1078,Fiji,2020,109,"levende dyr, fødevarer, drikkevarer og tobak"
1079,Fiji,2021,7,"levende dyr, fødevarer, drikkevarer og tobak"
1091,Filippinerne,2018,18157,"levende dyr, fødevarer, drikkevarer og tobak"
1092,Filippinerne,2019,23686,"levende dyr, fødevarer, drikkevarer og tobak"
1093,Filippinerne,2020,17171,"levende dyr, fødevarer, drikkevarer og tobak"
1094,Filippinerne,2021,21555,"levende dyr, fødevarer, drikkevarer og tobak"
1106,Finland,2018,573019,"levende dyr, fødevarer, drikkevarer og tobak"
1107,Finland,2019,659690,"levende dyr, fødevarer, drikkevarer og tobak"
1108,Finland,2020,621968,"levende dyr, fødevarer, drikkevarer og tobak"
1109,Finland,2021,648976,"levende dyr, fødevarer, drikkevarer og tobak"
1121,Forenede Arabiske Emirater,2018,4902,"levende dyr, fødevarer, drikkevarer og tobak"
1122,Forenede Arabiske Emirater,2019,3539,"levende dyr, fødevarer, drikkevarer og tobak"
1123,Forenede Arabiske Emirater,2020,3993,"levende dyr, fødevarer, drikkevarer og tobak"
1124,Forenede Arabiske Emirater,2021,4998,"levende dyr, fødevarer, drikkevarer og tobak"
1136,Frankrig og Monaco,2018,3450144,"levende dyr, fødevarer, drikkevarer og tobak"
1137,Frankrig og Monaco,2019,3475481,"levende dyr, fødevarer, drikkevarer og tobak"
1138,Frankrig og Monaco,2020,3734872,"levende dyr, fødevarer, drikkevarer og tobak"
1139,Frankrig og Monaco,2021,4578215,"levende dyr, fødevarer, drikkevarer og tobak"
1151,Fransk Guyana,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
1152,Fransk Guyana,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
1153,Fransk Guyana,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
1154,Fransk Guyana,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
1166,Fransk Polynesien,2018,3256,"levende dyr, fødevarer, drikkevarer og tobak"
1167,Fransk Polynesien,2019,3124,"levende dyr, fødevarer, drikkevarer og tobak"
1168,Fransk Polynesien,2020,2158,"levende dyr, fødevarer, drikkevarer og tobak"
1169,Fransk Polynesien,2021,2604,"levende dyr, fødevarer, drikkevarer og tobak"
1181,Franske besiddelser i det sydlige Indiske Ocean,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
1182,Franske besiddelser i det sydlige Indiske Ocean,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
