ID,LAND,TID,SITC,INDHOLD
235,Dem. Rep. Congo,2020,Diverse fremstillede varer,0
236,Dem. Rep. Congo,2021,Diverse fremstillede varer,0
237,Djibouti,2018,Diverse fremstillede varer,0
238,Djibouti,2019,Diverse fremstillede varer,0
239,Djibouti,2020,Diverse fremstillede varer,0
240,Djibouti,2021,Diverse fremstillede varer,0
241,Dominica,2018,Diverse fremstillede varer,0
242,Dominica,2019,Diverse fremstillede varer,5
243,Dominica,2020,Diverse fremstillede varer,0
244,Dominica,2021,Diverse fremstillede varer,0
245,Dominican Rep.,2018,Diverse fremstillede varer,44
246,Dominican Rep.,2019,Diverse fremstillede varer,1264
247,Dominican Rep.,2020,Diverse fremstillede varer,308
248,Dominican Rep.,2021,Diverse fremstillede varer,38
249,Ecuador,2018,Diverse fremstillede varer,47944
250,Ecuador,2019,Diverse fremstillede varer,38368
251,Ecuador,2020,Diverse fremstillede varer,80629
252,Ecuador,2021,Diverse fremstillede varer,32160
253,Egypt,2018,Diverse fremstillede varer,36248
254,Egypt,2019,Diverse fremstillede varer,27129
255,Egypt,2020,Diverse fremstillede varer,18983
256,Egypt,2021,Diverse fremstillede varer,17657
257,El Salvador,2018,Diverse fremstillede varer,103
258,El Salvador,2019,Diverse fremstillede varer,319
259,El Salvador,2020,Diverse fremstillede varer,60
260,El Salvador,2021,Diverse fremstillede varer,105
261,Ivory Coast,2018,Diverse fremstillede varer,6061
262,Ivory Coast,2019,Diverse fremstillede varer,5898
263,Ivory Coast,2020,Diverse fremstillede varer,4933
264,Ivory Coast,2021,Diverse fremstillede varer,5150
265,Eritrea,2018,Diverse fremstillede varer,0
266,Eritrea,2019,Diverse fremstillede varer,0
267,Eritrea,2020,Diverse fremstillede varer,0
268,Eritrea,2021,Diverse fremstillede varer,0
269,Estonia,2018,Diverse fremstillede varer,709455
270,Estonia,2019,Diverse fremstillede varer,704375
271,Estonia,2020,Diverse fremstillede varer,703164
272,Estonia,2021,Diverse fremstillede varer,719985
273,eSwatini,2018,Diverse fremstillede varer,0
274,eSwatini,2019,Diverse fremstillede varer,0
275,eSwatini,2020,Diverse fremstillede varer,0
276,eSwatini,2021,Diverse fremstillede varer,0
277,Ethiopia,2018,Diverse fremstillede varer,15
278,Ethiopia,2019,Diverse fremstillede varer,14
279,Ethiopia,2020,Diverse fremstillede varer,18
280,Ethiopia,2021,Diverse fremstillede varer,45
281,Falkland Is.,2018,Diverse fremstillede varer,0
282,Falkland Is.,2019,Diverse fremstillede varer,0
283,Falkland Is.,2020,Diverse fremstillede varer,0
284,Falkland Is.,2021,Diverse fremstillede varer,0
285,Fiji,2018,Diverse fremstillede varer,102
286,Fiji,2019,Diverse fremstillede varer,49
287,Fiji,2020,Diverse fremstillede varer,33
288,Fiji,2021,Diverse fremstillede varer,143
289,Philippines,2018,Diverse fremstillede varer,8427
290,Philippines,2019,Diverse fremstillede varer,7796
